term	mosaics_3.9.1	mosaics_current	openmm	sander	gromacs
bond	140.3454002346	FAILED_NO_DECK_ROW	82.6094045415	NOT_RUN	NOT_RUN
ub	57.0154605292	FAILED_NO_DECK_ROW	105.1030085698	NOT_RUN	NOT_RUN
angle	463.9373994625	FAILED_NO_DECK_ROW	551.8866392877	NOT_RUN	NOT_RUN
torsion	298.4024641562	FAILED_NO_DECK_ROW	440.1552839637	NOT_RUN	NOT_RUN
improper	0.1050825835	FAILED_NO_DECK_ROW	0.1132546012	NOT_RUN	NOT_RUN
lj14	351.2086739952	FAILED_NO_DECK_ROW	692.0249784181	NOT_RUN	NOT_RUN
lj	19986.9902810903	FAILED_NO_DECK_ROW	-120.8488547469	NOT_RUN	NOT_RUN
coulomb	448.4079533106	FAILED_NO_DECK_ROW	355.5807512504	NOT_RUN	NOT_RUN
coulomb_corrected	448.4083210159	FAILED_NO_DECK_ROW	355.5807512504	NOT_RUN	NOT_RUN
cmap	NO_LINE_PRINTED	FAILED_NO_DECK_ROW	0.0000000000	NOT_RUN	NOT_RUN
total_corrected	21746.4130830674	FAILED_NO_DECK_ROW	2106.6244658855	NOT_RUN	NOT_RUN
