step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.771929289826057e-05	-	-	423	x
0.003	1.594666530796429e-06	11.11	11.11	423	x
0.001	1.771872857048162e-07	9.00	9.00	423	x
0.0003	1.595736741355491e-08	11.10	11.11	423	x
0.0001	1.755394468672122e-09	9.09	9.00	423	x
3e-05	7.862275509459837e-10	2.23	11.11	794	x
1e-05	2.262154844522024e-09	0.35	9.00	528	x
3e-06	7.896751884339803e-09	0.29	11.11	694	y
1e-06	2.140336294743223e-08	0.37	9.00	308	x
3e-07	9.040836169635358e-08	0.24	11.11	579	x
