step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.654713922387123e-06	-	-	46	x
0.003	4.189249666894726e-07	11.11	11.11	46	x
0.001	4.654722693484686e-08	9.00	9.00	46	x
0.0003	4.189285706095863e-09	11.11	11.11	46	x
0.0001	4.655051630622631e-10	9.00	9.00	46	x
3e-05	4.147898192453925e-11	11.22	11.11	241	x
1e-05	1.504452118439303e-11	2.76	9.00	426	z
3e-06	1.279171976675819e-10	0.12	11.11	426	z
1e-06	1.40386695324235e-10	0.91	9.00	426	z
3e-07	6.122314807899265e-10	0.23	11.11	426	z
