step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.454601170910416e-06	-	-	348	x
0.003	6.709192301931899e-07	11.11	11.11	348	x
0.001	7.454662842749926e-08	9.00	9.00	348	x
0.0003	6.709189058484721e-09	11.11	11.11	348	x
0.0001	7.45441043961681e-10	9.00	9.00	348	x
3e-05	6.725668286189368e-11	11.08	11.11	348	x
1e-05	1.199685142894147e-11	5.61	9.00	553	z
3e-06	5.880979730976676e-11	0.20	11.11	400	z
1e-06	7.58428909952702e-11	0.78	9.00	614	z
3e-07	3.428037090302816e-10	0.22	11.11	614	z
