step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.349354000626524e-05	-	-	423	x
0.003	1.214346847702719e-06	11.11	11.11	423	x
0.001	1.349265908168196e-07	9.00	9.00	423	x
0.0003	1.21440659334171e-08	11.11	11.11	423	x
0.0001	1.351217832068485e-09	8.99	9.00	423	x
3e-05	1.270119148744087e-10	10.64	11.11	423	x
1e-05	1.16294869133976e-10	1.09	9.00	617	x
3e-06	4.068357729695993e-10	0.29	11.11	675	y
1e-06	1.018835059721224e-09	0.40	9.00	791	x
3e-07	4.239288007006764e-09	0.24	11.11	613	z
