step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.754180061521029e-06	-	-	380	z
0.003	1.578891842617081e-07	11.11	11.11	380	z
0.001	1.754333820588546e-08	9.00	9.00	380	z
0.0003	1.578904727007359e-09	11.11	11.11	380	z
0.0001	1.753977867081317e-10	9.00	9.00	380	z
3e-05	1.442391382013377e-11	12.16	11.11	412	z
1e-05	3.730497562335483e-11	0.39	9.00	615	z
3e-06	1.086812205985596e-10	0.34	11.11	659	x
1e-06	3.433206579271653e-10	0.32	9.00	676	z
3e-07	8.74770415826287e-10	0.39	11.11	751	x
