step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.771929376673254e-05	-	-	423	x
0.003	1.594665467480327e-06	11.11	11.11	423	x
0.001	1.771806712735913e-07	9.00	9.00	423	x
0.0003	1.597066297265304e-08	11.09	11.11	423	x
0.0001	1.793855092246943e-09	8.90	9.00	423	x
3e-05	8.319975758688813e-10	2.16	11.11	677	y
1e-05	2.289050140408255e-09	0.36	9.00	380	z
3e-06	9.003395005230397e-09	0.25	11.11	460	x
1e-06	2.239759033209783e-08	0.40	9.00	607	y
3e-07	7.776774589704147e-08	0.29	11.11	718	z
