step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.654713925116493e-06	-	-	46	x
0.003	4.189249657182443e-07	11.11	11.11	46	x
0.001	4.654723521533254e-08	9.00	9.00	46	x
0.0003	4.189182964279073e-09	11.11	11.11	46	x
0.0001	4.654024212454727e-10	9.00	9.00	46	x
3e-05	4.169826116340314e-11	11.16	11.11	241	x
1e-05	1.618365857991577e-11	2.58	9.00	426	z
3e-06	1.28131151522215e-10	0.13	11.11	426	z
1e-06	1.242941739115766e-10	1.03	9.00	612	z
3e-07	6.027656707097151e-10	0.21	11.11	426	z
