step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.454601172077885e-06	-	-	348	x
0.003	6.709192297404271e-07	11.11	11.11	348	x
0.001	7.454662334996365e-08	9.00	9.00	348	x
0.0003	6.709158539494608e-09	11.11	11.11	348	x
0.0001	7.453873941687394e-10	9.00	9.00	348	x
3e-05	6.741119988606936e-11	11.06	11.11	348	x
1e-05	1.155581880185608e-11	5.83	9.00	400	z
3e-06	5.94341902082629e-11	0.19	11.11	400	z
1e-06	7.75959053955777e-11	0.77	9.00	523	z
3e-07	3.473590998170906e-10	0.22	11.11	614	z
