step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	6.703019535367078e-06	-	-	17	z
0.003	6.032759883582055e-07	11.11	11.11	17	z
0.001	6.703070696114158e-08	9.00	9.00	17	z
0.0003	6.032765309657226e-09	11.11	11.11	17	z
0.0001	6.703071470277877e-10	9.00	9.00	17	z
3e-05	6.032633117006303e-11	11.11	11.11	17	z
1e-05	6.549903523202227e-12	9.21	9.00	17	z
3e-06	1.086512130266115e-11	0.60	11.11	116	z
1e-06	5.505437078445752e-11	0.20	9.00	116	z
3e-07	2.842331578434276e-11	1.94	11.11	11	y
