step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.22091684064452e-05	-	-	65	x
0.003	6.498267214827269e-06	11.11	11.11	65	x
0.001	7.220241938776795e-07	9.00	9.00	65	x
0.0003	6.498140336930192e-08	11.11	11.11	65	x
0.0001	7.220755215975316e-09	9.00	9.00	65	x
3e-05	6.574867872366497e-10	10.98	11.11	65	x
1e-05	7.562234172198146e-11	8.69	9.00	56	x
3e-06	1.069522994473493e-10	0.71	11.11	88	z
1e-06	3.772699591966799e-10	0.28	9.00	100	x
3e-07	1.22301734104685e-09	0.31	11.11	90	y
