step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	5.699003372638956e-05	-	-	48	z
0.003	5.128654663899557e-06	11.11	11.11	48	z
0.001	5.698461433834012e-07	9.00	9.00	48	z
0.0003	5.128638808082897e-08	11.11	11.11	48	z
0.0001	5.700954486265175e-09	9.00	9.00	48	z
3e-05	5.119570878342472e-10	11.14	11.11	48	z
1e-05	5.075190268044594e-11	10.09	9.00	48	z
3e-06	8.291511488495553e-11	0.61	11.11	44	x
1e-06	6.324851753447547e-10	0.13	9.00	48	x
3e-07	1.091146075837129e-09	0.58	11.11	54	y
