step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.709937944126865e-06	-	-	35	y
0.003	4.238986589241234e-07	11.11	11.11	35	y
0.001	4.709989225688219e-08	9.00	9.00	35	y
0.0003	4.238989785001947e-09	11.11	11.11	35	y
0.0001	4.710027052623814e-10	9.00	9.00	35	y
3e-05	4.240602167375832e-11	11.11	11.11	35	y
1e-05	4.722463197402715e-12	8.98	9.00	17	y
3e-06	1.69816244399712e-12	2.78	11.11	26	x
1e-06	9.571371473171553e-12	0.18	9.00	37	y
3e-07	7.175257350083841e-12	1.33	11.11	37	x
