step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.12771388393349e-06	-	-	33	y
0.003	6.414979107159986e-07	11.11	11.11	33	y
0.001	7.127758140100864e-08	9.00	9.00	33	y
0.0003	6.414982918281106e-09	11.11	11.11	33	y
0.0001	7.127756391517049e-10	9.00	9.00	33	y
3e-05	6.415209603806654e-11	11.11	11.11	33	y
1e-05	7.12712752347583e-12	9.00	9.00	33	y
3e-06	1.964267290488486e-12	3.63	11.11	31	x
1e-06	1.12131571389229e-11	0.18	9.00	28	x
3e-07	4.028917824361322e-12	2.78	11.11	28	x
