step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	5.696307533004097e-05	-	-	48	z
0.003	5.126228399432442e-06	11.11	11.11	48	z
0.001	5.695765426527721e-07	9.00	9.00	48	z
0.0003	5.126214663864204e-08	11.11	11.11	48	z
0.0001	5.698084837302275e-09	9.00	9.00	48	z
3e-05	5.104752176521288e-10	11.16	11.11	48	z
1e-05	4.927003249832751e-11	10.36	9.00	48	z
3e-06	8.206693495344669e-11	0.60	11.11	44	x
1e-06	6.137205743605989e-10	0.13	9.00	48	x
3e-07	1.017745404879172e-09	0.60	11.11	54	y
