step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	2.877852169080614e-07	-	-	39	y
0.003	2.590162165869506e-08	11.11	11.11	39	y
0.001	2.877964603827457e-09	9.00	9.00	39	y
0.0003	2.59003999887944e-10	11.11	11.11	39	y
0.0001	2.877150015630214e-11	9.00	9.00	39	y
3e-05	2.554045950425854e-12	11.27	11.11	39	y
1e-05	9.358219494465247e-13	2.73	9.00	39	x
3e-06	2.650124477504567e-12	0.35	11.11	39	y
1e-06	8.518847628181947e-12	0.31	9.00	28	z
3e-07	3.555423880655106e-11	0.24	11.11	26	y
