step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.974704926376676e-06	-	-	35	z
0.003	1.786225059191918e-07	11.06	11.11	35	z
0.001	1.990173169297803e-08	8.98	9.00	35	z
0.0003	1.815021322690638e-09	10.97	11.11	35	z
0.0001	7.20779649724182e-10	2.52	9.00	7	z
3e-05	1.103210194150408e-09	0.65	11.11	9	z
1e-05	1.771565494914371e-08	0.06	9.00	37	z
3e-06	9.284211710503757e-08	0.19	11.11	33	z
1e-06	8.457456979903046e-07	0.11	9.00	7	z
3e-07	1.573353839285242e-05	0.05	11.11	33	z
