step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	9.134083256145953e-07	-	-	7	y
0.003	8.220310522208396e-08	11.11	11.11	7	y
0.001	9.1336565810618e-09	9.00	9.00	7	y
0.0003	8.220644269474331e-10	11.11	11.11	7	y
0.0001	9.116760124605605e-11	9.02	9.00	7	y
3e-05	8.811852289514199e-12	10.35	11.11	16	y
1e-05	7.805283763068216e-12	1.13	9.00	36	x
3e-06	2.455254922983929e-11	0.32	11.11	49	x
1e-06	6.155998345629132e-11	0.40	9.00	49	x
3e-07	2.413920205217301e-10	0.26	11.11	22	x
