step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.778177447252192e-06	-	-	24	z
0.003	4.30037425603897e-07	11.11	11.11	24	z
0.001	4.778194833245444e-08	9.00	9.00	24	z
0.0003	4.300355006554152e-09	11.11	11.11	24	z
0.0001	4.777183548916597e-10	9.00	9.00	24	z
3e-05	4.301978131365791e-11	11.10	11.11	24	z
1e-05	5.694463997563126e-12	7.55	9.00	84	z
3e-06	1.807703292611151e-11	0.32	11.11	107	y
1e-06	8.448088756329852e-11	0.21	9.00	92	y
3e-07	1.850416035675817e-10	0.46	11.11	120	x
