step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.090637034945155e-06	-	-	60	z
0.003	6.381600208488561e-07	11.11	11.11	60	z
0.001	7.090669436153607e-08	9.00	9.00	60	z
0.0003	6.38159439961955e-09	11.11	11.11	60	z
0.0001	7.090775449442033e-10	9.00	9.00	60	z
3e-05	6.380667088440317e-11	11.11	11.11	60	z
1e-05	7.139037624948052e-12	8.94	9.00	60	z
3e-06	1.086512130266115e-11	0.66	11.11	116	z
1e-06	5.505437078445752e-11	0.20	9.00	116	z
3e-07	2.480269462035167e-11	2.22	11.11	117	x
