step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.563092092288915e-05	-	-	108	x
0.003	1.406658573427366e-06	11.11	11.11	108	x
0.001	1.562942428326441e-07	9.00	9.00	108	x
0.0003	1.406616167293206e-08	11.11	11.11	108	x
0.0001	1.562459890636081e-09	9.00	9.00	108	x
3e-05	1.390983647708843e-10	11.23	11.11	124	x
1e-05	1.369876434509365e-11	10.15	9.00	108	x
3e-06	3.794794166400717e-11	0.36	11.11	120	x
1e-06	1.340440189401271e-10	0.28	9.00	60	x
3e-07	4.601237234107269e-10	0.29	11.11	104	x
