step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.69139035218407e-06	-	-	53	y
0.003	1.522281119309502e-07	11.11	11.11	53	y
0.001	1.691423608601384e-08	9.00	9.00	53	y
0.0003	1.522205843063626e-09	11.11	11.11	53	y
0.0001	1.689364946219109e-10	9.01	9.00	53	y
3e-05	1.581823581354221e-11	10.68	11.11	53	y
1e-05	6.107766853044594e-12	2.59	9.00	120	z
3e-06	1.800969096077409e-11	0.34	11.11	97	z
1e-06	5.254240174456387e-11	0.34	9.00	112	y
3e-07	1.450098591551652e-10	0.36	11.11	104	z
