step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.588377394867724e-05	-	-	429	x
0.003	1.429464850891127e-06	11.11	11.11	429	x
0.001	1.588187440448863e-07	9.00	9.00	429	x
0.0003	1.430471367747099e-08	11.10	11.11	429	x
0.0001	2.413490962638321e-09	5.93	9.00	700	x
3e-05	7.325945450969984e-09	0.33	11.11	762	z
1e-05	2.226870896883393e-08	0.33	9.00	761	x
3e-06	7.771659028788739e-08	0.29	11.11	670	z
1e-06	1.995311696891683e-07	0.39	9.00	727	x
3e-07	7.622808855540369e-07	0.26	11.11	758	y
