step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	4.457670877000466e-06	-	-	342	x
0.003	4.011929049566824e-07	11.11	11.11	342	x
0.001	4.457701998630478e-08	9.00	9.00	342	x
0.0003	4.011913157047318e-09	11.11	11.11	342	x
0.0001	4.458768020597359e-10	9.00	9.00	342	x
3e-05	4.05528795223084e-11	10.99	11.11	342	x
1e-05	6.598300774035906e-11	0.61	9.00	673	z
3e-06	1.671953948987476e-10	0.39	11.11	765	x
1e-06	4.814413073934987e-10	0.35	9.00	701	z
3e-07	2.074130541363656e-09	0.23	11.11	423	z
