step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.344657494603552e-05	-	-	427	x
0.003	1.210119733988102e-06	11.11	11.11	427	x
0.001	1.344569159067444e-07	9.00	9.00	427	x
0.0003	1.210071666479795e-08	11.11	11.11	427	x
0.0001	1.343395700237338e-09	9.01	9.00	427	x
3e-05	1.933301162389267e-10	6.95	11.11	761	z
1e-05	6.003697613924178e-10	0.32	9.00	761	y
3e-06	1.473910796363775e-09	0.41	11.11	670	y
1e-06	6.704370383078112e-09	0.22	9.00	765	y
3e-07	1.577152656520239e-08	0.43	11.11	670	z
