step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	6.420512774992643e-06	-	-	15	z
0.003	5.778483258079073e-07	11.11	11.11	15	z
0.001	6.420538917542573e-08	9.00	9.00	15	z
0.0003	5.778482343662961e-09	11.11	11.11	15	z
0.0001	6.420817801056078e-10	9.00	9.00	15	z
3e-05	5.780378346115222e-11	11.11	11.11	15	z
1e-05	6.513792977225208e-12	8.87	9.00	15	z
3e-06	9.755474206230019e-12	0.67	11.11	117	z
1e-06	5.095984745295823e-11	0.19	9.00	117	z
3e-07	1.002912218604855e-10	0.51	11.11	2	y
