step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.617915701343958e-05	-	-	38	x
0.003	6.855535806066237e-06	11.11	11.11	38	x
0.001	7.617199652421025e-07	9.00	9.00	38	x
0.0003	6.855381115555836e-08	11.11	11.11	38	x
0.0001	7.621070802210639e-09	9.00	9.00	38	x
3e-05	6.808816288561559e-10	11.19	11.11	38	x
1e-05	1.24387204529508e-10	5.47	9.00	94	x
3e-06	5.171272021708972e-10	0.24	11.11	101	y
1e-06	1.372636768137703e-09	0.38	9.00	125	y
3e-07	3.060959985479172e-09	0.45	11.11	2	x
