step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.029704624654895e-06	-	-	77	x
0.003	9.268030540742454e-08	11.11	11.11	77	x
0.001	1.029785732186393e-08	9.00	9.00	77	x
0.0003	9.267654562609279e-10	11.11	11.11	77	x
0.0001	2.01106219979881e-09	0.46	9.00	88	x
3e-05	2.240682234373736e-09	0.90	11.11	93	z
1e-05	3.107863276300728e-09	0.72	9.00	101	x
3e-06	9.627339744882517e-09	0.32	11.11	101	y
1e-06	2.885732771723505e-08	0.33	9.00	101	y
3e-07	1.281955576807898e-07	0.23	11.11	70	x
