step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	7.078590921185887e-07	-	-	52	y
0.003	6.370630175125958e-08	11.11	11.11	52	y
0.001	7.077970098044728e-09	9.00	9.00	52	y
0.0003	6.358269830780694e-10	11.13	11.11	52	y
0.0001	6.671638068389552e-11	9.53	9.00	76	y
3e-05	1.393164602778163e-10	0.48	11.11	5	z
1e-05	4.218422677143563e-10	0.33	9.00	146	y
3e-06	1.77815417121488e-09	0.24	11.11	121	y
1e-06	5.782679775995225e-09	0.31	9.00	160	y
3e-07	1.964046308054745e-08	0.29	11.11	160	z
