step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.001643611979197084	-	-	7	x
0.003	0.0001436301283444345	11.44	11.11	7	x
0.001	1.591730989873238e-05	9.02	9.00	7	x
0.0003	1.4321323968218e-06	11.11	11.11	7	x
0.0001	1.591216722100774e-07	9.00	9.00	7	x
3e-05	1.432115803723377e-08	11.11	11.11	7	x
1e-05	1.590600689355126e-09	9.00	9.00	7	x
3e-06	1.389840846577339e-10	11.44	11.11	7	x
1e-06	7.646762389956763e-11	1.82	9.00	9	z
3e-07	2.443998642245697e-10	0.31	11.11	107	y
