step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.003644903027308466	-	-	6	y
0.003	0.0003279725884777207	11.11	11.11	6	y
0.001	3.644072079378446e-05	9.00	9.00	6	y
0.0003	3.279667483369053e-06	11.11	11.11	6	y
0.0001	3.643890940097094e-07	9.00	9.00	6	y
3e-05	3.276695625942239e-08	11.12	11.11	6	y
1e-05	3.829208061745248e-09	8.56	9.00	25	y
3e-06	6.506212790746702e-09	0.59	11.11	96	x
1e-06	2.004451493675674e-08	0.32	9.00	126	x
3e-07	4.785651874783525e-08	0.42	11.11	100	y
