step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	6.420512775166115e-06	-	-	15	z
0.003	5.778483258079073e-07	11.11	11.11	15	z
0.001	6.420538744070226e-08	9.00	9.00	15	z
0.0003	5.778482343662961e-09	11.11	11.11	15	z
0.0001	6.420817801056078e-10	9.00	9.00	15	z
3e-05	5.780378346115222e-11	11.11	11.11	15	z
1e-05	6.687265324822889e-12	8.64	9.00	15	z
3e-06	1.081775523380322e-11	0.62	11.11	126	z
1e-06	5.095984745295823e-11	0.21	9.00	117	z
3e-07	1.181300231448807e-10	0.43	11.11	126	z
