step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	0.003643978245287727	-	-	6	y
0.003	0.0003278893637546076	11.11	11.11	6	y
0.001	3.643147393184165e-05	9.00	9.00	6	y
0.0003	3.278835667863689e-06	11.11	11.11	6	y
0.0001	3.642989074847947e-07	9.00	9.00	6	y
3e-05	3.277150906200177e-08	11.12	11.11	6	y
1e-05	3.840771256591324e-09	8.53	9.00	25	y
3e-06	6.553639519957244e-09	0.59	11.11	96	x
1e-06	1.972927865523388e-08	0.33	9.00	126	x
3e-07	4.755886928720088e-08	0.41	11.11	126	x
