step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.563092092288915e-05	-	-	108	x
0.003	1.406658573427366e-06	11.11	11.11	108	x
0.001	1.562942428326441e-07	9.00	9.00	108	x
0.0003	1.406616167293206e-08	11.11	11.11	108	x
0.0001	1.562459890636081e-09	9.00	9.00	108	x
3e-05	1.405771471452155e-10	11.11	11.11	122	x
1e-05	3.532051560950489e-11	3.98	9.00	97	x
3e-06	1.100238199158721e-10	0.32	11.11	73	z
1e-06	3.228118241466182e-10	0.34	9.00	101	y
3e-07	1.076326722193599e-09	0.30	11.11	104	y
