step_bohr	max_abs_diff_ha_per_bohr	fall_vs_previous	step_ratio_squared	atom	component
0.01	1.027287186969317e-06	-	-	79	x
0.003	9.246273995067167e-08	11.11	11.11	79	x
0.001	1.027367883821295e-08	9.00	9.00	79	x
0.0003	9.24652655332793e-10	11.11	11.11	79	x
0.0001	1.028563206828537e-10	8.99	9.00	79	x
3e-05	9.45880873626237e-12	10.87	11.11	79	x
1e-05	8.720898244003739e-12	1.08	9.00	126	z
3e-06	4.202758898275843e-11	0.21	11.11	126	z
1e-06	6.807753194721169e-11	0.62	9.00	2	x
3e-07	3.353746691166573e-10	0.20	11.11	70	z
